Intrusives_CO2_wt                                                                                   
           2
T(K)    
   573.00000000000000     
   3.5256410256410255     
         313
P(bar)  
   500.00000000000000     
   286.85897435897436     
         313
           3
T(K)           P(bar)         CO2,wt%       
  573.000        500.000       0.197072E-001
  576.526        500.000       0.197072E-001
  580.051        500.000       0.197072E-001
  583.577        500.000       0.197072E-001
  587.103        500.000       0.197072E-001
  590.628        500.000       0.197072E-001
  594.154        500.000       0.197072E-001
  597.679        500.000       0.197072E-001
  601.205        500.000       0.197072E-001
  604.731        500.000       0.197072E-001
  608.256        500.000       0.197072E-001
  611.782        500.000       0.197072E-001
  615.308        500.000       0.197072E-001
  618.833        500.000       0.197072E-001
  622.359        500.000       0.197072E-001
  625.885        500.000       0.197072E-001
  629.410        500.000       0.197072E-001
  632.936        500.000       0.197072E-001
  636.462        500.000       0.197072E-001
  639.987        500.000       0.197072E-001
  643.513        500.000       0.197072E-001
  647.038        500.000       0.197072E-001
  650.564        500.000       0.197072E-001
  654.090        500.000       0.197072E-001
  657.615        500.000       0.197072E-001
  661.141        500.000       0.197072E-001
  664.667        500.000        0.00000     
  668.192        500.000        0.00000     
  671.718        500.000        0.00000     
  675.244        500.000        0.00000     
  678.769        500.000        0.00000     
  682.295        500.000        0.00000     
  685.821        500.000        0.00000     
  689.346        500.000        0.00000     
  692.872        500.000        0.00000     
  696.397        500.000        0.00000     
  699.923        500.000        0.00000     
  703.449        500.000        0.00000     
  706.974        500.000        0.00000     
  710.500        500.000        0.00000     
  714.026        500.000        0.00000     
  717.551        500.000        0.00000     
  721.077        500.000        0.00000     
  724.603        500.000        0.00000     
  728.128        500.000        0.00000     
  731.654        500.000        0.00000     
  735.179        500.000        0.00000     
  738.705        500.000        0.00000     
  742.231        500.000        0.00000     
  745.756        500.000        0.00000     
  749.282        500.000        0.00000     
  752.808        500.000        0.00000     
  756.333        500.000        0.00000     
  759.859        500.000        0.00000     
  763.385        500.000        0.00000     
  766.910        500.000        0.00000     
  770.436        500.000        0.00000     
  773.962        500.000        0.00000     
  777.487        500.000        0.00000     
  781.013        500.000        0.00000     
  784.538        500.000        0.00000     
  788.064        500.000        0.00000     
  791.590        500.000        0.00000     
  795.115        500.000        0.00000     
  798.641        500.000        0.00000     
  802.167        500.000        0.00000     
  805.692        500.000        0.00000     
  809.218        500.000        0.00000     
  812.744        500.000        0.00000     
  816.269        500.000        0.00000     
  819.795        500.000        0.00000     
  823.321        500.000        0.00000     
  826.846        500.000        0.00000     
  830.372        500.000        0.00000     
  833.897        500.000        0.00000     
  837.423        500.000        0.00000     
  840.949        500.000        0.00000     
  844.474        500.000        0.00000     
  848.000        500.000        0.00000     
  851.526        500.000        0.00000     
  855.051        500.000        0.00000     
  858.577        500.000        0.00000     
  862.103        500.000        0.00000     
  865.628        500.000        0.00000     
  869.154        500.000        0.00000     
  872.679        500.000        0.00000     
  876.205        500.000        0.00000     
  879.731        500.000        0.00000     
  883.256        500.000        0.00000     
  886.782        500.000        0.00000     
  890.308        500.000        0.00000     
  893.833        500.000        0.00000     
  897.359        500.000        0.00000     
  900.885        500.000        0.00000     
  904.410        500.000        0.00000     
  907.936        500.000        0.00000     
  911.462        500.000        0.00000     
  914.987        500.000        0.00000     
  918.513        500.000        0.00000     
  922.038        500.000        0.00000     
  925.564        500.000        0.00000     
  929.090        500.000        0.00000     
  932.615        500.000        0.00000     
  936.141        500.000        0.00000     
  939.667        500.000        0.00000     
  943.192        500.000        0.00000     
  946.718        500.000        0.00000     
  950.244        500.000        0.00000     
  953.769        500.000        0.00000     
  957.295        500.000        0.00000     
  960.821        500.000        0.00000     
  964.346        500.000        0.00000     
  967.872        500.000        0.00000     
  971.397        500.000        0.00000     
  974.923        500.000        0.00000     
  978.449        500.000        0.00000     
  981.974        500.000        0.00000     
  985.500        500.000        0.00000     
  989.026        500.000        0.00000     
  992.551        500.000        0.00000     
  996.077        500.000        0.00000     
  999.603        500.000        0.00000     
  1003.13        500.000        0.00000     
  1006.65        500.000        0.00000     
  1010.18        500.000        0.00000     
  1013.71        500.000        0.00000     
  1017.23        500.000        0.00000     
  1020.76        500.000        0.00000     
  1024.28        500.000        0.00000     
  1027.81        500.000        0.00000     
  1031.33        500.000        0.00000     
  1034.86        500.000        0.00000     
  1038.38        500.000        0.00000     
  1041.91        500.000        0.00000     
  1045.44        500.000        0.00000     
  1048.96        500.000        0.00000     
  1052.49        500.000        0.00000     
  1056.01        500.000        0.00000     
  1059.54        500.000        0.00000     
  1063.06        500.000        0.00000     
  1066.59        500.000        0.00000     
  1070.12        500.000        0.00000     
  1073.64        500.000        0.00000     
  1077.17        500.000        0.00000     
  1080.69        500.000        0.00000     
  1084.22        500.000        0.00000     
  1087.74        500.000        0.00000     
  1091.27        500.000        0.00000     
  1094.79        500.000        0.00000     
  1098.32        500.000        0.00000     
  1101.85        500.000        0.00000     
  1105.37        500.000        0.00000     
  1108.90        500.000        0.00000     
  1112.42        500.000        0.00000     
  1115.95        500.000        0.00000     
  1119.47        500.000        0.00000     
  1123.00        500.000        0.00000     
  1126.53        500.000        0.00000     
  1130.05        500.000        0.00000     
  1133.58        500.000        0.00000     
  1137.10        500.000        0.00000     
  1140.63        500.000        0.00000     
  1144.15        500.000        0.00000     
  1147.68        500.000        0.00000     
  1151.21        500.000        0.00000     
  1154.73        500.000        0.00000     
  1158.26        500.000        0.00000     
  1161.78        500.000        0.00000     
  1165.31        500.000        0.00000     
  1168.83        500.000        0.00000     
  1172.36        500.000        0.00000     
  1175.88        500.000        0.00000     
  1179.41        500.000        0.00000     
  1182.94        500.000        0.00000     
  1186.46        500.000        0.00000     
  1189.99        500.000        0.00000     
  1193.51        500.000        0.00000     
  1197.04        500.000        0.00000     
  1200.56        500.000        0.00000     
  1204.09        500.000        0.00000     
  1207.62        500.000        0.00000     
  1211.14        500.000        0.00000     
  1214.67        500.000        0.00000     
  1218.19        500.000        0.00000     
  1221.72        500.000        0.00000     
  1225.24        500.000        0.00000     
  1228.77        500.000        0.00000     
  1232.29        500.000        0.00000     
  1235.82        500.000        0.00000     
  1239.35        500.000        0.00000     
  1242.87        500.000        0.00000     
  1246.40        500.000        0.00000     
  1249.92        500.000        0.00000     
  1253.45        500.000        0.00000     
  1256.97        500.000        0.00000     
